ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
300000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
8462,"SINGLE UNIT DWELLING"
29873,"SINGLE UNIT DWELLING"
113000,"MOBILE HOME"
0,BAR/RESTAURANT
22000,"SINGLE UNIT DWELLING"
250000,"SHOPPING CENTRE"
15000,"ACCESSORY BUILDING"
0,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
8000,"MULTI-UNIT DWELLING"
22530,"ACCESSORY BUILDING"
70000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
36835,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
26030,"ACCESSORY BUILDING"
350000,"SINGLE UNIT DWELLING"
76889,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
7500,"STRIP MALL"
50000,"SINGLE UNIT DWELLING"
219000,"SINGLE UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
97000,"ACCESSORY BUILDING"
30000,"ACCESSORY BUILDING"
550000,DAYCARE
18350,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
3500,"STRIP MALL"
1600,"SINGLE UNIT DWELLING"
111594,"MOBILE HOME"
140000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
10000,"STRIP MALL"
26000,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
80000,"MULTI-UNIT DWELLING"
195000,"SINGLE UNIT DWELLING"
30450,"TWO UNIT DWELLING"
40000,"MULTI-UNIT DWELLING"
0,"PARKING STRUCTURE"
500,"TWO UNIT DWELLING"
5137,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
35000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
150000,"TWO UNIT DWELLING"
0,"MULTI COMMERCIAL"
13000,"ACCESSORY BUILDING"
10000,"MEDICAL CLINIC"
40000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
21000,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
152000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
400000,"ACCESSORY BUILDING"
145000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
7000,"MULTI-UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
132000,"MOBILE HOME"
10000,"ACCESSORY BUILDING"
835000,"SINGLE UNIT DWELLING"
8000,"OTHER RETAIL"
20000,"MULTI COMMERCIAL"
56000,"SINGLE UNIT DWELLING"
34000,"VETERINARY CLINIC"
12529388,"MULTI-UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
149000,"SINGLE UNIT DWELLING"
2500,"ACCESSORY BUILDING"
800000,BANK
25000,"MULTI COMMERCIAL"
100000,"BOWLING ALLEY"
10000,"ACCESSORY BUILDING"
6500,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
15000,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
27000,"SINGLE UNIT DWELLING"
5000,"PLACE OF WORSHIP"
107000,WAREHOUSE
30000,"SINGLE UNIT DWELLING"
39000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
425000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
200000,"TWO UNIT DWELLING"
90000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
95000,"MULTI-UNIT DWELLING"
19000,OFFICE
3000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
55000,"ACCESSORY BUILDING"
350000,"GAS STATION"
14500,"SINGLE UNIT DWELLING"
420000,"SINGLE UNIT DWELLING"
42791,"ACCESSORY BUILDING"
140000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
32000,"SINGLE UNIT DWELLING"
35611,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
6500,"SINGLE UNIT DWELLING"
1635000,"MULTI COMMERCIAL"
15000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
70000,"MOBILE HOME"
190000,"MOBILE HOME"
12000,"MULTI-UNIT DWELLING"
10000,"ACCESSORY BUILDING"
260000,"MULTI-UNIT DWELLING"
97000,OFFICE
18000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
21100,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
62500,"MULTI COMMERCIAL"
30000,"MULTI-UNIT DWELLING"
153000,"AIRPORT SUPPORT FACILI"
3000,"TWO UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
5000,"PLACE OF WORSHIP"
280000,"SINGLE UNIT DWELLING"
35000,"TWO UNIT DWELLING"
0,"TWO UNIT DWELLING"
235000,"SINGLE UNIT DWELLING"
4000,"TWO UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
22899,"ACCESSORY BUILDING"
0,OFFICE
10000,"ACCESSORY BUILDING"
8000,"ACCESSORY BUILDING"
100000,"SINGLE UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
35000,"ACCESSORY BUILDING"
61700,OFFICE
20000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
65000,"MULTI-UNIT DWELLING"
92712,BAR/RESTAURANT
0,"SINGLE UNIT DWELLING"
21000,"ACCESSORY BUILDING"
2000,"ACCESSORY BUILDING"
21757,"SINGLE UNIT DWELLING"
11000,"MULTI-UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
216000,"SINGLE UNIT DWELLING"
26000,"ACCESSORY BUILDING"
5000,"SINGLE UNIT DWELLING"
10000,HOTEL/MOTEL
280000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
255000,"MULTI COMMERCIAL"
60000,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
23750,"MULTI COMMERCIAL"
7000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
3500,"MIXED RES/COMM"
250000,"SINGLE UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
8500,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
4800,"ACCESSORY BUILDING"
1500,"SINGLE UNIT DWELLING"
1000,"MULTI-UNIT DWELLING"
89000,"SINGLE UNIT DWELLING"
65000,"OTHER SERVICE"
250000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
6486,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
49335,"OTHER RETAIL"
50000,"OTHER RETAIL"
12000,TOWNHOUSE
125000,"MOBILE HOME"
150000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
15000000,"MIXED RES/COMM"
60000,"TWO UNIT DWELLING"
5100,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
650000,"SINGLE UNIT DWELLING"
46000,"MULTI-UNIT DWELLING"
14000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
3100,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
1000000,"RECREATION FACILITY"
350000,"SINGLE UNIT DWELLING"
100000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
4500,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
124794,"MOBILE HOME"
65000,"MULTI-UNIT DWELLING"
250000,"TWO UNIT DWELLING"
12000,"ACCESSORY BUILDING"
0,"AUTO DEALERSHIP"
14000,"ACCESSORY BUILDING"
80000,"OTHER SERVICE"
125000,"MULTI-UNIT DWELLING"
7000,"TWO UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
25000,BAR/RESTAURANT
750000,"MULTI-UNIT DWELLING"
7500,"MOBILE HOME"
300000,"TWO UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
11000,"ACCESSORY BUILDING"
1130000,"MULTI COMMERCIAL"
240000,"SINGLE UNIT DWELLING"
26000,"SINGLE UNIT DWELLING"
330000,"TWO UNIT DWELLING"
90000,OFFICE
200000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
22500,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
0,"MULTI COMMERCIAL"
75000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
480000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
3000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
120000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
22200,"SINGLE UNIT DWELLING"
115000,"PUMPING STATION"
12540,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
500000,"TWO UNIT DWELLING"
500000,"TWO UNIT DWELLING"
28000,"ACCESSORY BUILDING"
29848,"TWO UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
80000,BANK
350000,"SINGLE UNIT DWELLING"
62000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
1500,"ACCESSORY BUILDING"
12000,BAR/RESTAURANT
0,"REPAIR GARAGE"
20000,"MULTI COMMERCIAL"
170000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
23800,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
242000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
7000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
12800,"SINGLE UNIT DWELLING"
210000,OFFICE
3600,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
40000,"TWO UNIT DWELLING"
110000,"SINGLE UNIT DWELLING"
175000,"TWO UNIT DWELLING"
0,"OTHER RETAIL"
20000,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
19000,"SINGLE UNIT DWELLING"
420000,"SINGLE UNIT DWELLING"
342418,"OTHER SERVICE"
25123263,"MULTI-UNIT DWELLING"
40000,"MULTI COMMERCIAL"
9900,"SINGLE UNIT DWELLING"
3300,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
475000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
35000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
9250,"SINGLE UNIT DWELLING"
35000,OFFICE
30000,"ACCESSORY BUILDING"
141000,"MULTI COMMERCIAL"
80000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
45000,BAR/RESTAURANT
24000,"SINGLE UNIT DWELLING"
285000,"PARKING STRUCTURE"
150000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
8700,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
80000,"SINGLE UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
50000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
390000,"STRIP MALL"
300000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
500,"MULTI-UNIT DWELLING"
6396500,OFFICE
175000,"SINGLE UNIT DWELLING"
146000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
90000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
100000,"SINGLE UNIT DWELLING"
1000,"ACCESSORY BUILDING"
16000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
240000,OFFICE
0,"MIXED RES/COMM"
0,"MULTI-UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
222000,BAR/RESTAURANT
50000,DAYCARE
35000,"SINGLE UNIT DWELLING"
25000,"MULTI-UNIT DWELLING"
0,"OTHER RETAIL"
10000,"ACCESSORY BUILDING"
7000,"ACCESSORY BUILDING"
9500,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
113700,BAR/RESTAURANT
0,"OTHER SERVICE"
10000,"ACCESSORY BUILDING"
50000,"TWO UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
66600,BAR/RESTAURANT
15000,"SINGLE UNIT DWELLING"
105000,OFFICE
10000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
8000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
20000,BAR/RESTAURANT
65000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
130000,OFFICE
350000,"SINGLE UNIT DWELLING"
100000,"ACCESSORY BUILDING"
265000,"SINGLE UNIT DWELLING"
0,"STRIP MALL"
27000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
430000,"MULTI-UNIT DWELLING"
15000,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
72000,"MOBILE HOME"
15000,"ACCESSORY BUILDING"
5000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
60000,"ACCESSORY BUILDING"
640000,BAR/RESTAURANT
3000,"TWO UNIT DWELLING"
326500,BAR/RESTAURANT
0,BAR/RESTAURANT
350000,"TWO UNIT DWELLING"
130000,BAR/RESTAURANT
270000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
212000,"SINGLE UNIT DWELLING"
10000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
18050,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
0,"TWO UNIT DWELLING"
12000,"ACCESSORY BUILDING"
21109,"MOVIE THEATRE"
23787,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
0,OFFICE
25000,"ACCESSORY BUILDING"
0,"MULTI-UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
0,"OTHER RETAIL"
135000,"SINGLE UNIT DWELLING"
1500,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
11800,"MULTI-UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
3600,"ACCESSORY BUILDING"
6000,"PLACE OF WORSHIP"
3000,"ACCESSORY BUILDING"
26000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
60000,"TWO UNIT DWELLING"
0,"OTHER SERVICE"
630000,OFFICE
0,"MIXED RES/COMM"
400,"OTHER SERVICE"
6000,"ACCESSORY BUILDING"
5500,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
168000,FACTORY/PLANT
1000000,"SINGLE UNIT DWELLING"
72000,"SINGLE UNIT DWELLING"
136000,"OTHER SERVICE"
20000,"TWO UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
716000,"MULTI-UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
8000,"TWO UNIT DWELLING"
0,"TWO UNIT DWELLING"
75000,"TWO UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
3000,"ACCESSORY BUILDING"
370000,"SINGLE UNIT DWELLING"
60000,"GAS STATION"
8500,"SINGLE UNIT DWELLING"
59820,"SINGLE UNIT DWELLING"
3000,"MIXED RES/COMM"
4000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
100000,"STRIP MALL"
0,"OTHER RETAIL"
3700,"ACCESSORY BUILDING"
4000,"OTHER RETAIL"
20000,"ACCESSORY BUILDING"
300000,"MULTI-UNIT DWELLING"
200000,"STRIP MALL"
200000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
0,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
60000,"GAS STATION"
35000,"MULTI-UNIT DWELLING"
1000,"SHOPPING CENTRE"
200000,"MULTI-UNIT DWELLING"
100000,"MULTI-UNIT DWELLING"
220000,"OTHER RETAIL"
10000,"ACCESSORY BUILDING"
412000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
11000,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
100000,OFFICE
350000,"TWO UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
36600,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
5500,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
750000,OFFICE
180000,"SINGLE UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
1,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
8800,"MOBILE HOME"
730000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
196000,"SINGLE UNIT DWELLING"
13400,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
13295000,"AIRPORT TERMINAL"
0,"STRIP MALL"
12000,"ACCESSORY BUILDING"
60000,"SHOPPING CENTRE"
4000,"SINGLE UNIT DWELLING"
10000,"MULTI COMMERCIAL"
50000,WAREHOUSE
3500000,"OTHER RETAIL"
23628,"SINGLE UNIT DWELLING"
340000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
280000,OFFICE
38000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
4500,"ACCESSORY BUILDING"
0,"MULTI-UNIT DWELLING"
15000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
3000000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
100000,"OTHER SERVICE"
150000,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
100000,"MOBILE HOME"
250000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
600,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
12000,OFFICE
260000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
245000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
175000,"MULTI-UNIT DWELLING"
175000,"MULTI-UNIT DWELLING"
140000,"TWO UNIT DWELLING"
8200,"MULTI COMMERCIAL"
600000,TOWNHOUSE
32500,"TWO UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
12395,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
370000,DORMITORY
25000,"ACCESSORY BUILDING"
59000,"MULTI COMMERCIAL"
4000000,"MULTI COMMERCIAL"
8000,"ACCESSORY BUILDING"
108000,"SINGLE UNIT DWELLING"
342700,BANK
12630,"ACCESSORY BUILDING"
132000,"MULTI-UNIT DWELLING"
15000,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
10000,"MULTI-UNIT DWELLING"
17500,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
63000,OFFICE
20000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
800,"OTHER RETAIL"
30000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
97000,OFFICE
140000,"SINGLE UNIT DWELLING"
8500,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
80000,"SINGLE UNIT DWELLING"
400000,"MULTI-UNIT DWELLING"
100,"TWO UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
22700,"MULTI-UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
14500,"SINGLE UNIT DWELLING"
150000,"TWO UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
0,"OTHER SERVICE"
300000,"SINGLE UNIT DWELLING"
500000,"MULTI-UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
80000,OFFICE
11000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
10000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
75000,"GAS STATION"
199000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
25000,"MULTI-UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
179000,"SINGLE UNIT DWELLING"
725000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
228980,"MULTI COMMERCIAL"
134000,"MULTI-UNIT DWELLING"
1200,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
861700,OFFICE
57000,"MOBILE HOME"
300000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
55000,"ACCESSORY BUILDING"
290000,"REPAIR GARAGE"
500000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
250000,OFFICE
4000,"MOBILE HOME"
10525,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
1000000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
32000,"MULTI COMMERCIAL"
6500,"SINGLE UNIT DWELLING"
30000,"MULTI COMMERCIAL"
0,BAR/RESTAURANT
275000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
115194,"MOBILE HOME"
125000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
8800,"SINGLE UNIT DWELLING"
27000,"MULTI-UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
125000,"STRIP MALL"
265000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
55000,"GAS STATION"
70000,"GAS STATION"
50000,"GAS STATION"
2500,"ACCESSORY BUILDING"
30000,"ACCESSORY BUILDING"
2500,"SINGLE UNIT DWELLING"
50000,"GAS STATION"
900000,"SINGLE UNIT DWELLING"
4000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
8500,"SINGLE UNIT DWELLING"
200000,OFFICE
0,"TWO UNIT DWELLING"
5000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
100000,"PUMPING STATION"
1000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
2300,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
80000,BAR/RESTAURANT
240000,"TWO UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
22213,"ACCESSORY BUILDING"
5000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
136000,"SINGLE UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
361000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
1900,"MOBILE HOME"
115000,"SINGLE UNIT DWELLING"
